Date,Product,Region,Units,Price,Revenue
2023-05-08,Tablet,North,16,190,3040
2023-03-30,Laptop,South,3,432,1296
2023-09-16,Phone,West,2,1252,2504
2023-03-24,Phone,East,5,822,4110
2023-07-06,Phone,West,8,403,3224
2023-03-31,Tablet,South,9,656,5904
2023-04-14,Phone,East,11,977,10747
2023-10-19,Monitor,North,2,914,1828
2023-07-08,Keyboard,West,4,474,1896
2023-05-01,Monitor,South,16,1420,22720
2023-11-29,Keyboard,North,11,1337,14707
2023-05-08,Laptop,South,10,603,6030
2023-02-02,Monitor,North,13,1403,18239
2023-12-20,Phone,North,2,531,1062
2023-02-15,Phone,West,7,468,3276
2023-10-15,Tablet,South,16,104,1664
2023-03-14,Monitor,East,19,1030,19570
2023-11-04,Monitor,West,13,1275,16575
2023-07-07,Laptop,North,12,749,8988
2023-03-08,Keyboard,North,13,927,12051
2023-06-10,Monitor,East,11,1017,11187
2023-07-27,Laptop,East,13,166,2158
2023-04-02,Keyboard,West,3,454,1362
2023-12-03,Keyboard,East,3,266,798
2023-05-14,Monitor,West,20,1410,28200
2023-04-24,Phone,West,14,1187,16618
2023-09-18,Laptop,East,8,256,2048
2023-10-13,Phone,North,6,362,2172
2023-06-29,Laptop,West,7,776,5432
2023-03-11,Tablet,West,16,1422,22752
2023-05-01,Tablet,East,10,1066,10660
2023-03-13,Laptop,South,10,581,5810
2023-07-09,Monitor,South,2,1014,2028
2023-04-10,Phone,North,12,660,7920
2023-05-03,Monitor,North,2,1356,2712
2023-09-17,Tablet,West,7,642,4494
2023-10-25,Keyboard,North,13,980,12740
2023-05-05,Tablet,West,19,945,17955
2023-01-23,Tablet,North,16,736,11776
2023-04-25,Laptop,East,13,241,3133
2023-09-25,Tablet,North,15,1282,19230
2023-11-22,Phone,North,17,409,6953
2023-09-14,Keyboard,North,17,774,13158
2023-11-28,Phone,North,8,580,4640
2023-01-07,Laptop,East,16,832,13312
2023-05-10,Phone,South,3,655,1965
2023-07-24,Tablet,South,5,566,2830
2023-08-03,Monitor,East,13,1252,16276
2023-06-07,Laptop,West,12,242,2904
2023-02-14,Keyboard,West,15,1011,15165
2023-06-30,Laptop,East,3,1296,3888
2023-07-29,Keyboard,North,4,1131,4524
2023-10-19,Phone,East,1,768,768
2023-04-07,Phone,South,9,1193,10737
2023-04-09,Keyboard,North,13,867,11271
2023-04-15,Keyboard,North,15,413,6195
2023-01-26,Laptop,North,14,966,13524
2023-08-25,Phone,West,2,1387,2774
2023-02-28,Laptop,South,16,1197,19152
2023-08-15,Tablet,North,15,675,10125
2023-08-12,Laptop,South,10,363,3630
2023-11-07,Keyboard,West,1,418,418
2023-08-12,Monitor,East,5,215,1075
2023-07-04,Tablet,East,7,1128,7896
2023-02-22,Keyboard,West,4,637,2548
2023-03-20,Tablet,West,3,786,2358
2023-09-20,Phone,West,14,608,8512
2023-12-18,Laptop,East,1,232,232
2023-06-28,Tablet,West,14,552,7728
2023-11-09,Monitor,West,17,758,12886
2023-05-23,Keyboard,East,12,1253,15036
2023-11-14,Laptop,West,15,1336,20040
2023-09-25,Monitor,West,13,520,6760
2024-01-01,Laptop,East,18,1071,19278
2023-05-09,Laptop,East,8,145,1160
2023-09-25,Tablet,East,16,704,11264
2023-05-02,Phone,South,5,1219,6095
2023-08-05,Laptop,East,19,1055,20045
2023-10-30,Phone,West,1,164,164
2023-10-08,Laptop,East,13,220,2860
2023-10-29,Keyboard,West,12,613,7356
2023-06-07,Tablet,South,11,307,3377
2023-06-02,Tablet,North,4,530,2120
2023-03-02,Keyboard,South,17,1428,24276
2023-12-27,Laptop,South,6,696,4176
2023-03-23,Keyboard,West,6,1120,6720
2023-11-18,Monitor,North,13,542,7046
2023-07-24,Keyboard,East,13,380,4940
2023-09-06,Tablet,North,4,818,3272
2023-01-05,Phone,East,13,281,3653
2023-07-22,Phone,East,8,1264,10112
2023-12-04,Monitor,South,11,236,2596
2023-02-01,Phone,West,13,1347,17511
2023-07-07,Monitor,East,12,1319,15828
2023-08-21,Keyboard,South,14,344,4816
2023-10-01,Tablet,East,20,136,2720
2023-07-18,Tablet,East,8,278,2224
2023-12-06,Tablet,North,5,262,1310
2023-12-04,Phone,North,16,1023,16368
2023-05-01,Phone,North,20,212,4240
2023-09-12,Monitor,West,9,1334,12006
2023-03-21,Laptop,South,15,186,2790
2023-09-04,Tablet,North,6,851,5106
2023-06-12,Monitor,North,11,188,2068
2023-08-25,Laptop,South,1,389,389
2023-06-26,Keyboard,North,8,380,3040
2023-03-25,Keyboard,East,19,575,10925
2023-08-15,Keyboard,West,3,555,1665
2023-08-07,Monitor,East,7,1232,8624
2023-09-15,Phone,East,4,942,3768
2023-05-12,Phone,East,5,353,1765
2023-11-04,Tablet,West,11,1387,15257
2023-10-16,Monitor,East,2,1310,2620
2023-09-03,Phone,North,9,1128,10152
2023-04-26,Keyboard,North,11,130,1430
2023-03-01,Monitor,West,5,1258,6290
2023-04-23,Laptop,South,16,1057,16912
2023-09-02,Phone,North,19,1129,21451
2023-01-09,Tablet,North,10,1055,10550
2023-02-05,Monitor,South,15,843,12645
2023-12-13,Keyboard,North,13,938,12194
2023-10-09,Monitor,South,5,1119,5595
2023-09-23,Tablet,West,14,1010,14140
2023-03-31,Tablet,South,6,738,4428
2023-10-23,Phone,North,14,851,11914
2023-11-04,Keyboard,West,16,744,11904
2023-09-20,Phone,South,19,670,12730
2023-02-13,Keyboard,East,13,1379,17927
2023-04-29,Tablet,South,1,1267,1267
2023-10-25,Phone,North,6,1480,8880
2023-06-19,Monitor,South,5,1273,6365
2023-03-11,Phone,North,9,1469,13221
2023-09-26,Tablet,North,4,635,2540
2023-06-19,Monitor,West,11,1339,14729
2023-05-15,Monitor,West,5,940,4700
2023-06-04,Monitor,South,20,1404,28080
2023-12-04,Keyboard,East,8,760,6080
2023-02-26,Tablet,North,5,553,2765
2023-09-28,Keyboard,South,8,1128,9024
2023-03-24,Keyboard,North,13,467,6071
2023-08-01,Keyboard,East,5,1442,7210
2023-11-15,Monitor,North,15,477,7155
2023-10-25,Laptop,East,3,1408,4224
2023-05-28,Tablet,South,12,442,5304
2023-12-31,Laptop,North,19,1025,19475
2023-03-29,Tablet,East,6,502,3012
2023-02-06,Keyboard,West,8,1249,9992
2023-06-30,Monitor,North,17,230,3910
2023-11-11,Monitor,West,17,1017,17289
2023-05-26,Keyboard,North,4,928,3712
2023-06-09,Phone,West,13,1120,14560
2023-12-23,Keyboard,South,7,169,1183
2023-10-27,Keyboard,South,14,1095,15330
2023-07-13,Tablet,East,6,363,2178
2023-06-02,Tablet,North,16,1088,17408
2023-12-22,Monitor,North,2,1285,2570
2023-08-02,Phone,West,6,841,5046
2023-02-09,Tablet,North,20,980,19600
2023-06-13,Tablet,North,12,171,2052
2023-02-15,Keyboard,South,1,1227,1227
2023-07-03,Phone,South,7,1115,7805
2023-09-21,Laptop,West,9,533,4797
2023-07-04,Laptop,North,2,1217,2434
2023-10-21,Monitor,South,17,1412,24004
2023-04-16,Laptop,South,14,588,8232
2023-12-10,Laptop,North,14,633,8862
2023-02-27,Keyboard,East,6,548,3288
2023-12-16,Phone,East,18,616,11088
2023-01-06,Monitor,East,6,1065,6390
2023-02-26,Phone,North,13,807,10491
2023-01-16,Tablet,North,4,668,2672
2023-08-11,Tablet,South,13,1452,18876
2023-12-11,Keyboard,East,16,1161,18576
2023-08-23,Phone,South,8,1448,11584
2023-08-18,Phone,West,9,1378,12402
2023-03-16,Laptop,South,13,569,7397
2023-07-30,Tablet,East,3,610,1830
2023-08-05,Phone,North,11,1202,13222
2023-07-02,Tablet,West,2,281,562
2023-02-28,Phone,North,20,197,3940
2023-12-10,Laptop,South,15,431,6465
2023-10-19,Keyboard,East,11,641,7051
2023-06-10,Laptop,South,1,130,130
2023-01-03,Laptop,East,16,737,11792
2023-09-10,Monitor,North,11,1314,14454
2023-07-19,Keyboard,East,19,572,10868
2023-04-13,Laptop,West,13,527,6851
2023-01-26,Keyboard,West,13,1122,14586
2023-10-02,Keyboard,East,10,521,5210
2023-01-16,Laptop,South,7,1240,8680
2023-02-12,Tablet,West,20,261,5220
2023-11-17,Keyboard,North,4,216,864
2023-07-29,Tablet,North,1,181,181
2023-07-29,Monitor,West,1,520,520
2023-07-30,Phone,East,6,162,972
2023-05-17,Phone,East,1,678,678
2023-12-18,Monitor,South,10,1066,10660
2023-09-21,Keyboard,East,11,418,4598
2023-03-14,Monitor,East,3,1123,3369
2023-01-12,Phone,West,8,364,2912
2023-02-10,Tablet,North,19,359,6821
2023-11-28,Laptop,South,11,1487,16357
2023-03-04,Laptop,South,14,132,1848
2023-12-09,Keyboard,East,2,855,1710
2023-01-19,Phone,West,4,809,3236
2023-05-09,Keyboard,South,8,863,6904
2023-07-11,Keyboard,South,2,1194,2388
2023-06-21,Monitor,East,6,1346,8076
2023-12-15,Laptop,West,5,315,1575
2023-08-06,Monitor,East,16,233,3728
2023-09-17,Monitor,South,19,1002,19038
2023-04-13,Tablet,West,12,909,10908
2023-04-14,Tablet,West,16,228,3648
2023-07-10,Keyboard,East,4,705,2820
2023-08-18,Laptop,North,18,533,9594
2023-11-04,Phone,East,8,1384,11072
2023-09-23,Laptop,North,19,304,5776
2023-06-18,Phone,East,8,150,1200
2023-11-06,Tablet,North,13,1433,18629
2023-02-19,Keyboard,East,5,1087,5435
2023-04-07,Monitor,North,15,309,4635
2023-10-24,Monitor,West,20,728,14560
2023-11-07,Laptop,South,15,967,14505
2023-05-11,Phone,West,16,175,2800
2023-11-19,Monitor,West,3,1016,3048
2023-05-12,Laptop,South,11,1150,12650
2023-03-04,Tablet,West,17,837,14229
2023-12-12,Monitor,North,1,767,767
2023-03-04,Laptop,North,14,657,9198
2023-07-08,Laptop,North,8,275,2200
2023-10-28,Laptop,East,15,821,12315
2023-04-27,Laptop,South,8,613,4904
2023-08-21,Tablet,West,7,1431,10017
2023-04-21,Keyboard,East,6,219,1314
2023-12-11,Monitor,North,9,644,5796
2023-07-06,Laptop,East,18,219,3942
2023-01-06,Phone,South,16,280,4480
2023-03-23,Keyboard,South,11,876,9636
2023-09-17,Phone,East,15,265,3975
2023-10-06,Monitor,East,4,258,1032
2023-06-11,Tablet,East,1,480,480
2023-02-16,Keyboard,West,17,1254,21318
2023-06-27,Tablet,South,8,789,6312
2023-04-21,Monitor,West,6,484,2904
2023-04-25,Tablet,East,9,576,5184
2023-05-31,Monitor,North,18,1404,25272
2023-04-02,Phone,West,15,220,3300
2023-11-05,Phone,North,13,624,8112
2023-08-28,Keyboard,West,12,689,8268
2023-08-30,Tablet,East,20,637,12740
2023-09-26,Tablet,North,17,1042,17714
2023-05-30,Tablet,North,12,218,2616
2023-07-15,Monitor,East,18,962,17316
2023-06-18,Keyboard,East,15,321,4815
2023-11-14,Phone,West,10,1222,12220
2023-11-29,Keyboard,West,20,1052,21040
2023-01-28,Keyboard,East,18,131,2358
2023-03-06,Keyboard,North,10,355,3550
2023-05-04,Monitor,North,12,601,7212
2023-01-14,Tablet,East,16,304,4864
2023-11-06,Keyboard,North,6,510,3060
2023-12-10,Laptop,West,12,416,4992
2023-07-28,Tablet,North,18,1050,18900
2023-01-21,Phone,East,10,980,9800
2023-06-25,Laptop,East,11,372,4092
2023-05-29,Laptop,North,16,517,8272
2023-11-25,Tablet,West,17,316,5372
2023-04-30,Phone,South,18,1077,19386
2023-09-14,Monitor,South,14,841,11774
2023-08-10,Laptop,South,7,1497,10479
2023-01-15,Monitor,West,1,792,792
2023-12-06,Laptop,West,14,287,4018
2023-08-31,Phone,North,15,262,3930
2023-07-31,Keyboard,North,13,259,3367
2023-08-04,Keyboard,South,4,461,1844
2023-11-28,Laptop,West,16,1019,16304
2023-07-27,Keyboard,East,8,894,7152
2023-07-14,Keyboard,West,6,1109,6654
2023-05-26,Keyboard,East,1,795,795
2023-07-27,Monitor,South,1,501,501
2023-06-11,Keyboard,West,17,248,4216
2023-04-09,Keyboard,East,13,124,1612
2023-01-05,Laptop,West,15,255,3825
2023-05-18,Monitor,West,19,944,17936
2023-03-15,Tablet,North,11,547,6017
2023-04-27,Keyboard,South,14,493,6902
2023-08-16,Phone,East,16,468,7488
2023-08-11,Phone,East,14,180,2520
2023-02-07,Keyboard,North,15,571,8565
2023-03-21,Monitor,East,8,733,5864
2023-07-29,Laptop,North,18,1339,24102
2023-12-17,Laptop,North,10,112,1120
2023-01-15,Phone,West,15,728,10920
2023-04-19,Laptop,North,1,286,286
2023-05-01,Phone,North,14,227,3178
2023-11-16,Tablet,North,18,670,12060
2023-11-07,Tablet,South,5,1450,7250
2023-10-13,Keyboard,West,5,346,1730
2023-09-05,Tablet,West,5,497,2485
2023-09-03,Laptop,North,18,474,8532
2023-12-15,Phone,East,9,708,6372
2023-07-11,Laptop,East,13,316,4108
2023-01-07,Laptop,South,19,696,13224
2023-07-30,Tablet,West,5,612,3060
2023-06-18,Keyboard,East,3,1099,3297
2023-03-12,Keyboard,South,3,1325,3975
2023-08-10,Keyboard,North,6,176,1056
2023-01-08,Tablet,South,3,520,1560
2023-12-15,Phone,North,4,517,2068
2023-03-03,Keyboard,West,9,378,3402
2023-12-15,Monitor,South,10,1431,14310
2023-03-20,Tablet,North,9,144,1296
2023-01-26,Keyboard,West,9,302,2718
2023-04-20,Phone,West,3,364,1092
2023-07-25,Phone,East,15,516,7740
2023-07-21,Phone,North,17,949,16133
2023-05-01,Laptop,North,17,374,6358
2023-03-17,Keyboard,South,7,944,6608
2023-06-07,Laptop,West,8,1064,8512
2023-05-04,Laptop,East,12,988,11856
2023-08-06,Keyboard,North,5,634,3170
2023-09-26,Phone,East,15,656,9840
2023-11-09,Tablet,South,4,888,3552
2023-12-18,Keyboard,East,18,1368,24624
2023-05-29,Tablet,North,12,1160,13920
2023-02-12,Laptop,North,5,1164,5820
2023-03-06,Phone,West,17,730,12410
2023-01-16,Phone,West,4,724,2896
2023-09-21,Tablet,West,4,808,3232
2023-10-09,Phone,North,4,1300,5200
2023-01-26,Tablet,West,15,546,8190
2023-10-06,Phone,North,15,645,9675
2023-04-04,Monitor,West,3,550,1650
2023-09-11,Monitor,South,14,430,6020
2023-11-08,Phone,East,12,1395,16740
2023-02-25,Keyboard,North,19,1248,23712
2023-12-05,Keyboard,North,4,338,1352
2023-09-14,Keyboard,West,19,1295,24605
2023-09-16,Tablet,East,17,432,7344
2023-07-28,Monitor,North,3,359,1077
2023-03-17,Monitor,North,13,1126,14638
2023-05-14,Laptop,East,4,271,1084
2023-11-11,Phone,South,18,1082,19476
2023-07-08,Tablet,North,18,1307,23526
2023-12-25,Keyboard,East,18,951,17118
2023-12-31,Tablet,South,6,106,636
2023-12-31,Monitor,North,6,645,3870
2023-09-20,Laptop,West,11,203,2233
2023-02-04,Tablet,South,13,478,6214
2023-02-18,Phone,South,2,1075,2150
2023-05-23,Phone,West,10,1403,14030
2023-06-29,Phone,North,9,1161,10449
2023-05-12,Tablet,West,18,201,3618
2023-10-29,Laptop,North,16,207,3312
2023-10-24,Tablet,North,13,218,2834
2023-01-26,Tablet,North,19,723,13737
2023-11-11,Keyboard,North,2,188,376
2023-08-11,Tablet,South,16,244,3904
2023-05-23,Phone,South,4,455,1820
2023-12-03,Tablet,North,16,1499,23984
2023-05-14,Laptop,North,4,463,1852
2023-02-05,Tablet,East,4,808,3232
2023-02-22,Tablet,North,1,439,439
2023-03-24,Tablet,West,7,958,6706
2023-12-03,Monitor,North,15,177,2655
2023-09-04,Keyboard,North,9,423,3807
2023-09-09,Phone,West,18,1388,24984
2023-03-15,Tablet,South,10,1206,12060
2023-12-07,Keyboard,North,18,359,6462
2023-01-07,Laptop,North,12,1330,15960
2023-12-11,Laptop,East,14,1237,17318
2023-05-09,Tablet,North,7,424,2968
2023-08-22,Laptop,West,3,767,2301
2023-10-25,Tablet,East,20,422,8440
2023-06-16,Tablet,East,13,112,1456
2023-04-13,Keyboard,South,9,1026,9234
2023-06-02,Monitor,West,18,657,11826
2023-11-04,Laptop,West,6,568,3408
2023-10-26,Laptop,East,2,836,1672
2023-10-28,Phone,East,15,1057,15855
2023-05-18,Phone,West,17,1383,23511
2023-05-13,Laptop,South,19,1304,24776
2023-08-02,Laptop,North,17,677,11509
2023-08-22,Monitor,West,13,275,3575
2023-04-08,Monitor,East,9,554,4986
2023-06-18,Laptop,North,9,276,2484
2023-12-24,Keyboard,South,6,1020,6120
2023-08-28,Phone,West,11,1076,11836
2023-01-13,Keyboard,West,11,1087,11957
2023-03-26,Tablet,South,4,732,2928
2023-07-12,Keyboard,West,14,127,1778
2023-02-27,Phone,North,4,205,820
2023-12-17,Laptop,East,5,381,1905
2023-06-08,Monitor,North,20,257,5140
2023-03-28,Phone,South,12,1111,13332
2023-08-27,Phone,North,15,946,14190
2023-02-24,Tablet,West,15,287,4305
2023-11-12,Laptop,South,15,851,12765
2023-07-04,Tablet,South,3,921,2763
2023-12-21,Tablet,West,12,375,4500
2023-04-08,Phone,West,3,1392,4176
2023-06-30,Laptop,West,4,699,2796
2023-02-28,Monitor,East,16,1126,18016
2023-07-12,Tablet,West,9,101,909
2023-09-25,Keyboard,South,15,760,11400
2023-02-17,Keyboard,North,1,157,157
2023-08-15,Laptop,North,5,1293,6465
2023-03-27,Monitor,East,17,209,3553
2023-11-12,Phone,East,4,1098,4392
2023-12-28,Monitor,North,9,571,5139
2023-01-17,Laptop,West,7,520,3640
2023-10-23,Monitor,South,5,846,4230
2023-12-27,Keyboard,East,20,133,2660
2023-12-31,Phone,South,9,817,7353
2023-10-01,Keyboard,North,14,971,13594
2023-02-15,Monitor,West,16,463,7408
2023-02-01,Keyboard,West,18,937,16866
2023-10-20,Tablet,East,6,772,4632
2023-03-19,Laptop,South,8,880,7040
2023-02-06,Tablet,West,2,1197,2394
2023-09-08,Keyboard,East,4,131,524
2023-09-15,Tablet,South,14,170,2380
2023-09-06,Laptop,North,19,1303,24757
2023-05-03,Laptop,North,18,882,15876
2023-01-24,Keyboard,West,19,314,5966
2023-02-22,Monitor,West,4,1273,5092
2023-11-01,Laptop,South,4,1193,4772
2023-09-23,Laptop,South,1,819,819
2023-06-24,Keyboard,North,10,1187,11870
2023-05-03,Keyboard,East,1,346,346
2023-04-16,Laptop,East,15,1065,15975
2023-02-12,Keyboard,South,10,784,7840
2023-05-18,Tablet,East,18,939,16902
2023-08-07,Tablet,East,18,345,6210
2023-07-28,Phone,East,9,807,7263
2023-02-12,Tablet,East,9,151,1359
2023-01-12,Phone,North,18,653,11754
2023-11-01,Laptop,East,2,937,1874
2023-05-01,Phone,South,17,438,7446
2023-06-09,Monitor,South,11,1250,13750
2023-10-24,Phone,South,7,808,5656
2023-02-11,Keyboard,East,4,951,3804
2023-03-19,Phone,West,18,627,11286
2023-10-16,Phone,North,4,367,1468
2023-04-11,Keyboard,South,4,1349,5396
2023-01-23,Monitor,West,19,687,13053
2023-01-29,Keyboard,North,1,1343,1343
2023-07-19,Phone,South,17,1400,23800
2023-10-13,Keyboard,South,17,1060,18020
2023-08-11,Phone,North,9,1158,10422
2023-08-18,Monitor,East,13,551,7163
2023-07-05,Tablet,East,18,1351,24318
2023-09-24,Phone,East,8,329,2632
2023-03-13,Tablet,West,15,718,10770
2023-04-24,Keyboard,West,19,1327,25213
2023-10-14,Laptop,North,18,1315,23670
2023-06-13,Tablet,West,4,852,3408
2023-05-19,Tablet,North,19,1069,20311
2023-04-21,Phone,North,1,1426,1426
2023-10-29,Tablet,North,15,427,6405
2023-03-18,Tablet,North,7,276,1932
2023-09-19,Keyboard,East,15,832,12480
2023-01-22,Phone,East,15,541,8115
2023-10-10,Tablet,West,11,1291,14201
2023-04-20,Tablet,East,18,578,10404
2023-01-13,Phone,East,9,1083,9747
2023-08-14,Keyboard,East,7,717,5019
2023-06-17,Keyboard,South,7,812,5684
2023-03-17,Laptop,South,20,890,17800
2023-12-29,Phone,West,1,458,458
2023-10-27,Tablet,East,19,1117,21223
2023-05-22,Tablet,North,16,810,12960
2023-03-26,Keyboard,West,10,716,7160
2023-12-25,Monitor,East,5,573,2865
2023-06-19,Tablet,North,19,1301,24719
2023-10-06,Monitor,East,6,789,4734
2023-09-24,Keyboard,South,20,790,15800
2023-01-17,Phone,East,9,965,8685
2023-10-28,Monitor,West,9,654,5886
2023-08-01,Monitor,South,1,1380,1380
2023-06-02,Laptop,South,19,247,4693
2023-11-01,Tablet,South,10,1401,14010
2023-12-30,Laptop,South,11,484,5324
2023-03-14,Keyboard,North,4,715,2860
2023-01-19,Laptop,North,14,225,3150
2023-04-02,Monitor,North,12,324,3888
2023-11-26,Keyboard,South,16,814,13024
2023-12-18,Laptop,South,5,401,2005
2023-08-15,Laptop,South,1,1385,1385
2023-11-12,Phone,West,7,222,1554
2023-10-18,Keyboard,South,5,680,3400
2023-05-22,Keyboard,North,14,580,8120
2023-05-04,Phone,North,19,560,10640
2023-12-10,Monitor,West,11,1102,12122
2023-01-03,Phone,South,6,1155,6930
2023-05-21,Monitor,West,7,1325,9275
2023-02-21,Monitor,South,5,401,2005
2023-10-09,Monitor,West,1,424,424
2023-03-15,Tablet,South,18,1497,26946
2023-01-13,Tablet,West,10,766,7660
2023-10-17,Phone,South,16,559,8944
2023-03-11,Keyboard,South,18,737,13266
2023-08-09,Monitor,North,5,576,2880
2023-08-15,Monitor,South,10,1276,12760
2023-04-02,Phone,East,20,194,3880
2023-12-03,Monitor,West,17,665,11305
2023-12-22,Phone,North,6,622,3732
2023-02-08,Tablet,East,4,375,1500
2023-04-25,Tablet,East,17,681,11577
2023-07-16,Keyboard,West,4,896,3584
2023-08-15,Laptop,West,10,293,2930
2023-06-30,Laptop,West,13,793,10309
2023-06-19,Phone,West,12,861,10332
2023-04-01,Phone,West,5,680,3400
2023-03-04,Keyboard,West,3,738,2214
2023-04-02,Laptop,East,13,190,2470
2023-03-19,Monitor,North,1,1488,1488
2023-11-23,Monitor,North,4,1463,5852
2023-11-23,Phone,East,11,1384,15224
2023-08-30,Phone,North,19,831,15789
2023-01-26,Tablet,South,16,1056,16896
2023-08-28,Tablet,North,18,404,7272
2023-10-09,Tablet,North,17,913,15521
2023-09-07,Keyboard,North,10,717,7170
2023-09-11,Tablet,West,2,344,688
2023-05-16,Laptop,North,20,946,18920
2023-09-06,Phone,South,18,656,11808
2023-12-19,Laptop,West,3,778,2334
2023-03-25,Laptop,South,13,872,11336
2023-02-24,Keyboard,West,1,159,159
2023-12-19,Monitor,East,19,1030,19570
2023-01-09,Monitor,North,5,1015,5075
2023-05-02,Monitor,East,2,630,1260
2023-02-25,Keyboard,South,13,438,5694
2023-02-12,Keyboard,North,7,889,6223
2023-10-09,Monitor,East,20,879,17580
2023-10-18,Laptop,East,2,1481,2962
2023-12-02,Tablet,East,16,1453,23248
2023-04-05,Laptop,West,20,1203,24060
2023-07-30,Monitor,North,6,684,4104
2023-07-13,Laptop,North,19,156,2964
2023-03-01,Phone,North,14,754,10556
2023-10-11,Keyboard,West,6,409,2454
2023-01-30,Keyboard,South,8,974,7792
2023-05-16,Phone,East,1,993,993
2023-04-26,Tablet,North,17,886,15062
2023-12-13,Phone,South,18,130,2340
2023-06-21,Monitor,South,9,1387,12483
2023-10-19,Keyboard,West,3,337,1011
2023-06-20,Phone,West,4,699,2796
2023-12-09,Monitor,East,15,989,14835
2023-12-30,Phone,North,5,231,1155
2023-07-23,Monitor,West,20,886,17720
2023-06-06,Laptop,East,3,1209,3627
2023-01-18,Monitor,North,4,546,2184
2023-01-09,Phone,West,12,1209,14508
2023-04-20,Keyboard,East,9,985,8865
2023-05-01,Tablet,East,4,1187,4748
2023-02-28,Monitor,East,13,1220,15860
2023-10-10,Tablet,North,2,727,1454
2023-01-07,Laptop,West,18,1105,19890
2023-08-26,Laptop,East,15,642,9630
2023-08-16,Tablet,East,9,316,2844
2023-06-02,Tablet,East,12,1165,13980
2023-10-21,Monitor,West,14,643,9002
2023-11-03,Tablet,South,14,464,6496
2023-04-29,Monitor,South,14,167,2338
2023-04-04,Laptop,East,18,126,2268
2023-07-30,Tablet,West,8,1261,10088
2023-04-22,Keyboard,South,11,711,7821
2023-12-26,Laptop,East,20,458,9160
2023-01-10,Keyboard,East,14,232,3248
2023-12-19,Keyboard,East,8,1036,8288
2023-03-26,Tablet,North,20,464,9280
2023-12-19,Tablet,South,5,1284,6420
2023-08-21,Monitor,North,13,269,3497
2023-06-27,Phone,North,5,1398,6990
2023-03-16,Monitor,East,7,109,763
2023-08-23,Laptop,South,7,548,3836
2023-08-31,Tablet,West,19,1045,19855
2023-03-21,Tablet,East,4,1108,4432
2023-09-01,Phone,North,17,621,10557
2023-01-11,Keyboard,East,8,865,6920
2023-04-15,Laptop,East,16,640,10240
2023-12-11,Laptop,East,10,1048,10480
2023-02-01,Laptop,South,17,1025,17425
2023-02-09,Monitor,East,10,520,5200
2023-02-12,Keyboard,South,12,859,10308
2023-11-14,Monitor,East,8,230,1840
2023-07-10,Keyboard,North,3,1005,3015
2023-04-19,Phone,East,11,1434,15774
2023-01-20,Tablet,South,4,750,3000
2023-11-22,Phone,West,15,1081,16215
2023-05-13,Laptop,East,1,865,865
2023-06-07,Monitor,East,7,1248,8736
2023-05-07,Tablet,South,15,1135,17025
